Portugal (POR),Portugal ,POR,,,,1,6,,3,9,9,5,11,6,8,6,2,,3,3,8,9,9,7,8,13,5,5
Puerto Rico (PUR),Puerto Rico ,PUR,,,,,,,,,,,,1,6,5,9,,6,3,4,3,2,3,,,,2
Qatar (QAT),Qatar ,QAT,,,,,,,,,,,,,,,,,,1,,1,,,,,,
Rhodesia (RHO),Rhodesia ,RHO,,,,,,,,,,,2,3,,,,,,,,,,,,,,
Romania (ROM),Romania ,ROM,,,,,,,,,,,,,,,,5,,,,2,,,,,,
South Africa (RSA),South Africa ,RSA,,,,1,1,3,,1,4,5,3,,,,,,,,11,5,2,1,3,2,3,3
Russian Empire (RU1),Russian Empire ,RU,,17,,,,,,,,,,,,,,,,,,,,,,,,
Soviet Union (URS),Soviet Union ,URS,,,,,,,,,14,10,11,11,11,13,12,12,,15,,,,,,,,
Unified Team (EUN),Unified Team ,EUN,,,,,,,,,,,,,,,,,,,14,,,,,,,
Russia (RUS),Russia ,RUS,,,,,,,,,,,,,,,,,,,,,,,,,,6
Russia (RUS),Russia ,RUS,,,,,,,,,,,,,,,,,,,,12,12,13,10,10,7,
Samoa (SAM),Samoa ,SAM,,,,,,,,,,,,,,,,,,,,,,,,,,1
Senegal (SEN),Senegal ,SEN,,,,,,,,,,,,,,,,,1,,,,,,,,,
Seychelles (SEY),Seychelles ,SEY,,,,,,,,,,,,,,,,,,,1,2,3,1,1,,3,1
Singapore (SGP),Singapore ,SGP,,,,,,,,,,5,3,,,,,,1,2,2,4,3,1,6,2,10,4
Slovenia (SLO),Slovenia ,SLO,,,,,,,,,,,,,,,,,,,3,5,5,7,6,4,3,3
San Marino (SMR),San Marino ,SMR,,,,,,,,,,,,,,,,,1,1,,1,,,,,,
Sri Lanka (SRI),Sri Lanka ,SRI,,,,,,,,,,,,,,,,,2,,,,1,,,,,
Switzerland (SUI),Switzerland ,SUI,,,,1,1,,6,13,11,,11,7,9,10,6,8,9,9,10,5,8,8,9,6,9,6
Slovakia (SVK),Slovakia ,SVK,,,,,,,,,,,,,,,,,,,,4,1,1,1,,,
Sweden (SWE),Sweden ,SWE,13,41,11,4,11,7,15,15,14,7,11,11,8,13,12,10,13,15,15,15,17,10,11,14,7,9
Czechoslovakia (TCH),Czechoslovakia ,TCH,,,,,,,1,,,,,1,,1,,3,,,3,,,,,,,
Thailand (THA),Thailand ,THA,,,,,,,,,,2,2,4,4,3,2,,1,1,2,1,3,1,2,3,4,3
Chinese Taipei (TPE),Chinese Taipei ,TPE,,,,,,,,,,,,,,1,,,2,,,3,1,,1,1,1,
Trinidad and Tobago (TTO),Trinidad and Tobago ,TTO,,,,,,,,,,,,2,,2,,,1,,,,,,,1,1,1
Tunisia (TUN),Tunisia ,TUN,,,,,,,,,,,,,,,,,,,1,,,1,,1,4,4
Turkey (TUR),Turkey ,TUR,,,,,,,3,,,,1,3,,,,,2,2,2,5,4,5,6,5,6,8
United Arab Emirates (UAE),United Arab Emirates ,UAE,,,,,,,,,,,,,,,,,,,,,,,1,,,
Ukraine (UKR),Ukraine ,UKR,,,,,,,,,,,,,,,,,,,,12,11,10,6,4,3,
Uruguay (URU),Uruguay ,URU,,,,,,,1,4,1,,3,,1,,,,3,5,3,2,1,2,1,2,4,3
United States (USA),United States ,USA,,,,,11,22,14,16,19,12,10,11,11,13,12,,13,15,17,16,18,18,18,16,15,13
Venezuela (VEN),Venezuela ,VEN,,,,,,,,,,,2,3,4,,,,2,1,,1,1,1,3,2,2,1
Yugoslavia (YUG),Yugoslavia ,YUG,,,,,,,1,,3,,3,,2,3,1,3,1,,,,,,,,,
Zimbabwe (ZIM),Zimbabwe ,ZIM,,,,,,,,,,,,,,,,3,1,1,,,,,,,,
